condition,dataset,dense_queried,event_count,evidence_recall_at_10,final_context_tokens,hit_at_10,method,mrr_at_10,ndcg_at_10,phase,route_true_reward,seed,selected_cluster_hit,unique_query_count
repeated,lotte_technology_search_100k,0.0,20,0.23055555555555557,1351.6,0.3,cluster_cold_no_feedback,0.26,0.23520376116922187,B_recurrent_shift_1,0.3,13,0.3,20
repeated,lotte_technology_search_100k,0.0,20,0.0865079365079365,1194.05,0.2,cluster_cold_no_feedback,0.12916666666666665,0.08577273653818936,B_recurrent_shift_2,0.2,13,0.2,20
unseen,lotte_technology_search_100k,0.0,64,0.06575520833333333,1197.09375,0.125,cluster_cold_no_feedback,0.1046875,0.07184951682016964,unseen_tail,0.15625,13,0.15625,64
nearby,lotte_technology_search_100k,0.0,24,0.017526455026455025,1262.7083333333333,0.08333333333333333,cluster_cold_no_feedback,0.08333333333333333,0.03800119636266151,A_nearby,0.08333333333333333,17,0.08333333333333333,24
nearby,lotte_technology_search_100k,0.0,24,0.14583333333333334,1160.0416666666667,0.16666666666666666,cluster_cold_no_feedback,0.14583333333333334,0.1411188669681059,B_nearby,0.16666666666666666,17,0.16666666666666666,24
repeated,lotte_technology_search_100k,0.0,20,0.06944444444444445,1422.5,0.15,cluster_cold_no_feedback,0.11666666666666667,0.07465595347918168,A_recurrent_return,0.15,17,0.15,20
repeated,lotte_technology_search_100k,0.0,20,0.058333333333333334,1325.45,0.1,cluster_cold_no_feedback,0.1,0.06585326408997966,A_recurrent_warmup_1,0.1,17,0.1,20
repeated,lotte_technology_search_100k,0.0,20,0.02777777777777778,1454.45,0.05,cluster_cold_no_feedback,0.05,0.03465110967615782,A_recurrent_warmup_2,0.05,17,0.05,20
repeated,lotte_technology_search_100k,0.0,20,0.1,1201.95,0.1,cluster_cold_no_feedback,0.1,0.1,B_recurrent_shift_1,0.1,17,0.1,20
repeated,lotte_technology_search_100k,0.0,20,0.0725,1243.35,0.15,cluster_cold_no_feedback,0.15,0.08647701276328588,B_recurrent_shift_2,0.2,17,0.2,20
