condition,dataset,dense_queried,event_count,evidence_recall_at_10,final_context_tokens,hit_at_10,method,mrr_at_10,ndcg_at_10,phase,route_true_reward,seed,selected_cluster_hit,unique_query_count
nearby,lotte_technology_search_100k,1.0,24,0.7662037037037037,1840.1666666666667,0.9166666666666666,dense,0.7371527777777778,0.6922010421876685,B_nearby,nan,13,nan,24
repeated,lotte_technology_search_100k,1.0,20,0.8475,1964.85,0.95,dense,0.8516666666666667,0.7742710061713924,A_recurrent_return,nan,13,nan,20
repeated,lotte_technology_search_100k,1.0,20,0.8475,1964.85,0.95,dense,0.8516666666666667,0.7742710061713924,A_recurrent_warmup_1,nan,13,nan,20
repeated,lotte_technology_search_100k,1.0,20,0.8475,1964.85,0.95,dense,0.8516666666666667,0.7742710061713924,A_recurrent_warmup_2,nan,13,nan,20
repeated,lotte_technology_search_100k,1.0,20,0.8160714285714286,1894.4,1.0,dense,0.875,0.7827145065110696,B_recurrent_shift_1,nan,13,nan,20
repeated,lotte_technology_search_100k,1.0,20,0.8160714285714286,1894.4,1.0,dense,0.875,0.7827145065110696,B_recurrent_shift_2,nan,13,nan,20
unseen,lotte_technology_search_100k,1.0,64,0.553484623015873,1354.859375,0.765625,dense,0.5649429563492063,0.5079937212809672,unseen_tail,nan,13,nan,64
nearby,lotte_technology_search_100k,1.0,24,0.8116402116402116,1741.5416666666667,0.9583333333333334,dense,0.8506944444444444,0.8041241538351186,A_nearby,nan,17,nan,24
nearby,lotte_technology_search_100k,1.0,24,0.7662037037037037,1840.1666666666667,0.9166666666666666,dense,0.7371527777777778,0.6922010421876685,B_nearby,nan,17,nan,24
repeated,lotte_technology_search_100k,1.0,20,0.8475,1964.85,0.95,dense,0.8516666666666667,0.7742710061713924,A_recurrent_return,nan,17,nan,20
repeated,lotte_technology_search_100k,1.0,20,0.8475,1964.85,0.95,dense,0.8516666666666667,0.7742710061713924,A_recurrent_warmup_1,nan,17,nan,20
repeated,lotte_technology_search_100k,1.0,20,0.8475,1964.85,0.95,dense,0.8516666666666667,0.7742710061713924,A_recurrent_warmup_2,nan,17,nan,20
repeated,lotte_technology_search_100k,1.0,20,0.8160714285714286,1894.4,1.0,dense,0.875,0.7827145065110696,B_recurrent_shift_1,nan,17,nan,20
repeated,lotte_technology_search_100k,1.0,20,0.8160714285714286,1894.4,1.0,dense,0.875,0.7827145065110696,B_recurrent_shift_2,nan,17,nan,20
unseen,lotte_technology_search_100k,1.0,64,0.553484623015873,1354.859375,0.765625,dense,0.5649429563492063,0.5079937212809672,unseen_tail,nan,17,nan,64
nearby,lotte_technology_search_100k,1.0,24,0.8116402116402116,1741.5416666666667,0.9583333333333334,dense,0.8506944444444444,0.8041241538351186,A_nearby,nan,19,nan,24
nearby,lotte_technology_search_100k,1.0,24,0.7662037037037037,1840.1666666666667,0.9166666666666666,dense,0.7371527777777778,0.6922010421876685,B_nearby,nan,19,nan,24
repeated,lotte_technology_search_100k,1.0,20,0.8475,1964.85,0.95,dense,0.8516666666666667,0.7742710061713924,A_recurrent_return,nan,19,nan,20
repeated,lotte_technology_search_100k,1.0,20,0.8475,1964.85,0.95,dense,0.8516666666666667,0.7742710061713924,A_recurrent_warmup_1,nan,19,nan,20
repeated,lotte_technology_search_100k,1.0,20,0.8475,1964.85,0.95,dense,0.8516666666666667,0.7742710061713924,A_recurrent_warmup_2,nan,19,nan,20
repeated,lotte_technology_search_100k,1.0,20,0.8160714285714286,1894.4,1.0,dense,0.875,0.7827145065110696,B_recurrent_shift_1,nan,19,nan,20
repeated,lotte_technology_search_100k,1.0,20,0.8160714285714286,1894.4,1.0,dense,0.875,0.7827145065110696,B_recurrent_shift_2,nan,19,nan,20
unseen,lotte_technology_search_100k,1.0,64,0.553484623015873,1354.859375,0.765625,dense,0.5649429563492063,0.5079937212809672,unseen_tail,nan,19,nan,64
nearby,lotte_technology_search_100k,1.0,24,0.8111772486772487,1786.75,0.9583333333333334,learned_feedback,0.8506944444444444,0.8022233130769693,A_nearby,0.25,13,0.25,24
nearby,lotte_technology_search_100k,1.0,24,0.7835648148148148,2186.625,0.9166666666666666,learned_feedback,0.7337962962962963,0.6953847433641506,B_nearby,0.7916666666666666,13,0.7916666666666666,24
repeated,lotte_technology_search_100k,1.0,20,0.8280555555555555,1910.4,0.95,learned_feedback,0.8516666666666667,0.7612440665622737,A_recurrent_return,0.2,13,0.2,20
repeated,lotte_technology_search_100k,1.0,20,0.8225,1855.4,0.95,learned_feedback,0.8516666666666667,0.7592040526897684,A_recurrent_warmup_1,0.0,13,0.0,20
repeated,lotte_technology_search_100k,1.0,20,0.8280555555555555,1895.4,0.95,learned_feedback,0.8516666666666667,0.7610474315541447,A_recurrent_warmup_2,0.2,13,0.2,20
repeated,lotte_technology_search_100k,1.0,20,0.8017857142857143,1782.85,1.0,learned_feedback,0.875,0.77423600547571,B_recurrent_shift_1,0.0,13,0.0,20
repeated,lotte_technology_search_100k,1.0,20,0.8017857142857143,1686.35,1.0,learned_feedback,0.875,0.77423600547571,B_recurrent_shift_2,0.05,13,0.05,20
unseen,lotte_technology_search_100k,1.0,64,0.5849330357142857,1420.671875,0.796875,learned_feedback,0.5698722718253968,0.5197280357163411,unseen_tail,0.28125,13,0.296875,64
nearby,lotte_technology_search_100k,1.0,24,0.8134920634920635,1730.25,0.9583333333333334,learned_feedback,0.8506944444444444,0.8048741792519256,A_nearby,0.125,17,0.125,24
nearby,lotte_technology_search_100k,1.0,24,0.7916666666666666,2135.7916666666665,0.9166666666666666,learned_feedback,0.734375,0.6984304379202555,B_nearby,0.20833333333333334,17,0.20833333333333334,24
repeated,lotte_technology_search_100k,1.0,20,0.8225,1895.0,0.95,learned_feedback,0.8516666666666667,0.7595501368576804,A_recurrent_return,0.15,17,0.15,20
repeated,lotte_technology_search_100k,1.0,20,0.8225,1965.85,0.95,learned_feedback,0.8516666666666667,0.7573627901834857,A_recurrent_warmup_1,0.15,17,0.15,20
repeated,lotte_technology_search_100k,1.0,20,0.8225,1902.4,0.95,learned_feedback,0.8516666666666667,0.7591076015157953,A_recurrent_warmup_2,0.15,17,0.15,20
