hit@10,hit_delta_vs_dense_pp,method,policy,seed_rows,split,token_saving_vs_dense_pct,tokens
0.851024208566108,-0.9310986964618184,intentroute,token_budget_r0.86_m6,3,calibration,19.122656453802037,1195.100558659218
0.851024208566108,-0.9310986964618184,intentroute,token_budget_r0.86_m7,3,calibration,18.374964871223902,1206.148975791434
0.851024208566108,-0.9310986964618184,intentroute,token_budget_r0.86_m8,3,calibration,15.133665780728393,1254.04469273743
0.851024208566108,-0.9310986964618221,intentroute,token_budget_r0.87_m4,3,calibration,18.370302038162144,1206.217877094972
0.851024208566108,-0.9310986964618221,intentroute,token_budget_r0.87_m5,3,calibration,18.367025452767393,1206.2662942271882
0.851024208566108,-0.9310986964618221,intentroute,token_budget_r0.87_m6,3,calibration,18.25801597713448,1207.877094972067
0.851024208566108,-0.9310986964618221,intentroute,token_budget_r0.87_m7,3,calibration,17.6313060091316,1217.1378026070763
0.851024208566108,-0.9310986964618221,intentroute,token_budget_r0.87_m8,3,calibration,14.708969904563155,1260.320297951583
0.851024208566108,-0.9310986964618221,intentroute,token_budget_r0.88_m4,3,calibration,17.46735071687909,1219.56052141527
0.851024208566108,-0.9310986964618221,intentroute,token_budget_r0.88_m5,3,calibration,17.464074131484335,1219.608938547486
0.851024208566108,-0.9310986964618221,intentroute,token_budget_r0.88_m6,3,calibration,17.43382872784052,1220.0558659217877
0.851024208566108,-0.9310986964618221,intentroute,token_budget_r0.88_m7,3,calibration,17.161368050015817,1224.0819366852886
0.851024208566108,-0.9310986964618221,intentroute,token_budget_r0.88_m8,3,calibration,14.557490841313717,1262.558659217877
0.8528864059590316,-0.7448789571694592,intentroute,token_budget_r0.89_m4,3,calibration,16.613800221547585,1232.173184357542
0.8528864059590316,-0.7448789571694592,intentroute,token_budget_r0.89_m5,3,calibration,16.61052363615284,1232.2216014897579
0.8528864059590316,-0.7448789571694592,intentroute,token_budget_r0.89_m6,3,calibration,16.586327313237792,1232.5791433891993
0.8528864059590316,-0.7448789571694592,intentroute,token_budget_r0.89_m7,3,calibration,16.443921871081493,1234.683426443203
0.8528864059590316,-0.7448789571694592,intentroute,token_budget_r0.89_m8,3,calibration,14.174256372643542,1268.2216014897579
0.8547486033519553,-0.5586592178770925,intentroute,token_budget_r0.90_m4,3,calibration,15.655398993584202,1246.3351955307262
0.8547486033519553,-0.5586592178770925,intentroute,token_budget_r0.90_m5,3,calibration,15.652122408189458,1246.3836126629421
0.8547486033519553,-0.5586592178770925,intentroute,token_budget_r0.90_m6,3,calibration,15.627926085274401,1246.7411545623836
0.8547486033519553,-0.5586592178770925,intentroute,token_budget_r0.90_m7,3,calibration,15.552438598680045,1247.8566108007449
0.8528864059590316,-0.7448789571694592,intentroute,token_budget_r0.90_m8,3,calibration,13.61963128332508,1276.417132216015
0.8547486033519553,-0.5586592178770925,intentroute,token_budget_r0.91_m4,3,calibration,14.80814962401183,1258.854748603352
0.8547486033519553,-0.5586592178770925,intentroute,token_budget_r0.91_m5,3,calibration,14.804873038617083,1258.9031657355679
0.8547486033519553,-0.5586592178770925,intentroute,token_budget_r0.91_m6,3,calibration,14.780676715702034,1259.2607076350093
0.8547486033519553,-0.5586592178770925,intentroute,token_budget_r0.91_m7,3,calibration,14.74312200617763,1259.8156424581005
0.8528864059590316,-0.7448789571694592,intentroute,token_budget_r0.91_m8,3,calibration,13.134696644902581,1283.5828677839852
0.8547486033519553,-0.5586592178770925,intentroute,token_budget_r0.92_m4,3,calibration,13.991901793174375,1270.9162011173185
0.8547486033519553,-0.5586592178770925,intentroute,token_budget_r0.92_m5,3,calibration,13.991901793174375,1270.9162011173185
0.8547486033519553,-0.5586592178770925,intentroute,token_budget_r0.92_m6,3,calibration,13.98055976680794,1271.0837988826815
0.8547486033519553,-0.5586592178770925,intentroute,token_budget_r0.92_m7,3,calibration,13.969721830502243,1271.2439478584731
0.8547486033519553,-0.5586592178770925,intentroute,token_budget_r0.92_m8,3,calibration,12.70533793567559,1289.927374301676
0.8566108007448789,-0.37243947858472587,intentroute,token_budget_r0.93_m4,3,calibration,13.11037429947235,1283.9422718808194
0.8566108007448789,-0.37243947858472587,intentroute,token_budget_r0.93_m5,3,calibration,13.11037429947235,1283.9422718808194
0.8566108007448789,-0.37243947858472587,intentroute,token_budget_r0.93_m6,3,calibration,13.11037429947235,1283.9422718808194
0.8566108007448789,-0.37243947858472587,intentroute,token_budget_r0.93_m7,3,calibration,13.10155272340957,1284.072625698324
0.8566108007448789,-0.37243947858472587,intentroute,token_budget_r0.93_m8,3,calibration,12.190661983670012,1297.532588454376
0.8566108007448789,-0.37243947858472587,intentroute,token_budget_r0.94_m4,3,calibration,12.45455313046229,1293.633147113594
0.8566108007448789,-0.37243947858472587,intentroute,token_budget_r0.94_m5,3,calibration,12.45455313046229,1293.633147113594
0.8566108007448789,-0.37243947858472587,intentroute,token_budget_r0.94_m6,3,calibration,12.45455313046229,1293.633147113594
0.8566108007448789,-0.37243947858472587,intentroute,token_budget_r0.94_m7,3,calibration,12.45455313046229,1293.633147113594
0.8566108007448789,-0.37243947858472587,intentroute,token_budget_r0.94_m8,3,calibration,11.71694334909876,1304.532588454376
0.8621973929236499,0.18621973929236665,intentroute,token_budget_r0.95_m4,3,calibration,11.309386534998357,1310.5549348230911
0.8621973929236499,0.18621973929236665,intentroute,token_budget_r0.95_m5,3,calibration,11.309386534998357,1310.5549348230911
