calibration_eligible,calibration_hit_delta_pp,calibration_queries,calibration_saving_pct,dense_same_action_test_hit_delta_pp,dense_same_action_test_saving_pct,is_original_split,scale,selected_policy,split_index,split_salt,test_hit_delta_max_seed_pp,test_hit_delta_mean_pp,test_hit_delta_min_seed_pp,test_point_noninferior_seeds_1pp,test_queries,test_saving_max_seed_pct,test_saving_mean_pct,test_saving_min_seed_pct
True,2.607076350093111,179,18.240765107385776,-3.1175059952038398,22.477799990701563,False,400k,token_budget_r0.85_m4,7,task65_5_calibration_sensitivity_v1_07,-1.1990407673860948,-2.078337330135893,-3.3573141486810565,0,417,20.263942668517497,18.217789231085984,17.09068629078856
False,-1.1173184357541923,179,7.0018616340786135,-0.47961630695444457,11.300075768957985,False,400k,token_budget_r0.98_m4,8,task65_5_calibration_sensitivity_v1_08,3.597122302158273,2.4780175859312545,1.6786570743405282,3,417,8.740894396812848,7.201443649058862,6.26362104535313
True,0.18621973929235924,179,9.143922503267476,-1.4388489208633115,15.580850620076681,False,400k,token_budget_r0.92_m8,9,task65_5_calibration_sensitivity_v1_09,1.4388489208633115,0.7993605115907262,-0.23980815347721673,3,417,12.848823217981419,11.277267063472959,10.47568625563523
True,0.0,179,12.091941011854221,-1.4388489208633115,17.869911468650212,False,400k,token_budget_r0.85_m8,10,task65_5_calibration_sensitivity_v1_10,1.6786570743405282,0.07993605115907225,-0.959232613908878,3,417,14.598374903989974,13.92661465281427,12.786352427537695
True,0.18621973929236296,179,6.201083374526276,-0.23980815347721673,11.232718340576387,False,400k,token_budget_r0.98_m4,11,task65_5_calibration_sensitivity_v1_11,2.877697841726612,1.918465227817745,1.1990407673860948,3,417,9.599747640535073,7.531713066007369,5.139742452434404
True,0.0,179,15.493317343958527,-1.6786570743405282,19.80350270823832,False,400k,token_budget_r0.88_m4,12,task65_5_calibration_sensitivity_v1_12,0.47961630695443347,-0.23980815347722043,-1.1990407673860948,2,417,17.19911352198994,15.682660074086519,14.661450207618266
True,0.18621973929236663,179,8.026006562191338,-0.7194244604316502,12.006769927439686,False,400k,token_budget_r0.98_m4,13,task65_5_calibration_sensitivity_v1_13,3.1175059952038398,1.9184652278177488,0.959232613908878,3,417,8.49648503170981,6.7643288991815895,4.584558686969986
True,0.37243947858473325,179,16.578224676030555,-1.4388489208633115,20.19678897107291,False,400k,token_budget_r0.88_m4,14,task65_5_calibration_sensitivity_v1_14,0.7194244604316613,-0.3996802557953612,-1.6786570743405282,2,417,16.61709125960179,15.186802121253269,14.385369844682117
True,0.0,179,13.246814587400047,-1.6786570743405282,17.11407807017401,False,400k,token_budget_r0.88_m8,15,task65_5_calibration_sensitivity_v1_15,1.1990407673860948,0.4796163069544372,-0.47961630695443347,3,417,12.662768655022704,11.888881087785808,11.225097926521222
True,0.5586592178770962,179,13.803825602801853,-2.1582733812949617,20.181500102239845,False,400k,token_budget_r0.88_m4,16,task65_5_calibration_sensitivity_v1_16,0.7194244604316613,-0.47961630695443347,-1.6786570743405282,2,417,17.2475405632605,16.418099377148245,15.797357342931972
False,-0.7448789571694592,179,6.40917887680893,-0.47961630695443347,11.335070202458809,False,400k,token_budget_r0.98_m4,17,task65_5_calibration_sensitivity_v1_17,2.877697841726623,2.3181454836131135,1.4388489208633115,3,417,9.07937939714969,7.444174158180913,5.846499792887161
True,3.700743415417188e-15,179,8.962225787609713,-1.1990407673860948,13.79072939303171,False,400k,token_budget_r0.95_m7,18,task65_5_calibration_sensitivity_v1_18,2.3980815347721784,1.2789768185451633,0.23980815347721673,3,417,10.576427364148344,9.348481981070714,8.451940458244422
True,1.4897579143389184,179,18.461075880874716,-2.877697841726623,22.78344375196606,False,400k,token_budget_r0.85_m4,19,task65_5_calibration_sensitivity_v1_19,-0.47961630695443347,-1.5987210231814524,-2.1582733812949617,1,417,19.328130963045286,18.128189938145333,17.415485434800303
True,1.4897579143389148,179,14.669842118831292,-3.83693045563549,21.898372177949078,True,638k,token_budget_r0.85_m4,0,task38_lotte_calibration_v1,1.1990407673860948,-0.07993605115906854,-1.1990407673860837,2,417,17.783367032216557,17.532377539206898,17.36680773298469
True,0.18621973929236296,179,12.993374900718628,-2.637889688249395,17.88078311902449,False,638k,token_budget_r0.90_m4,1,task65_5_calibration_sensitivity_v1_01,2.1582733812949617,1.0391686650679504,0.47961630695444457,3,417,12.495051047746863,11.916123010680206,11.611951262559217
False,-0.18621973929236663,179,7.154270518667117,-1.4388489208633115,14.413881101507242,False,638k,token_budget_r0.95_m4,2,task65_5_calibration_sensitivity_v1_02,3.597122302158273,2.238209432454038,0.959232613908878,3,417,9.12335212529063,8.672161115984624,8.214068816597454
