seed,bm25_support_at100,cluster_support_at100,dense_support_at100,first_relevant_prefix_ratio,first_relevant_prefix_tokens,first_relevant_rank,maximum_safe_token_saving,minimum_safe_ratio_grid,multiple_relevant,query_id,relevant_chunks_top10,route_confidence,route_support_count_at100,route_tier,safe_r0.85_m4,safe_r0.95_m4,source_hit,total_tokens_top10,variant
13,1,0,1,0.6333002973240832,639,4,0.3666997026759168,0.01,0,lotte_technology_search_100k_q191,1,0.45057124566818585,2,hybrid_lite,1,1,1,1009,dynamic_gated
13,1,0,1,0.11546685673556664,162,1,0.5317177476835353,0.01,0,lotte_technology_search_100k_q485,1,0.37984444616193414,2,full_dense_fallback,1,1,1,1403,dynamic_gated
13,1,0,1,0.12017887087758525,215,2,0.8077138065958636,0.01,0,lotte_technology_search_100k_q146,1,0.40206517861707963,2,full_dense_fallback,1,1,1,1789,dynamic_gated
13,1,1,1,0.021479713603818614,36,1,0.8239856801909308,0.01,1,lotte_technology_search_100k_q457,7,0.8246471811474988,3,linucb_primary,1,1,1,1676,dynamic_gated
13,1,1,1,0.06366307541625857,65,1,0.5759059745347699,0.01,1,lotte_technology_search_100k_q324,8,0.4559077457157536,3,hybrid_lite,1,1,1,1021,dynamic_gated
13,1,1,1,0.6182096403978576,808,2,0.3404743687834736,0.01,1,lotte_technology_search_100k_q294,2,0.41634735792196864,3,full_dense_fallback,1,1,1,1307,dynamic_gated
13,1,1,1,0.1771177117711771,161,1,0.5412541254125413,0.01,0,lotte_technology_search_100k_q303,1,0.8769842392419868,3,linucb_primary,1,1,1,909,dynamic_gated
13,1,1,1,0.3347260909935005,721,1,0.24791086350974934,0.01,1,lotte_technology_search_100k_q452,3,0.6427564747029608,3,hybrid_lite,1,1,1,2154,dynamic_gated
13,1,1,1,0.28529062870699884,481,2,0.5409252669039146,0.01,1,lotte_technology_search_100k_q551,2,0.622486108598789,3,hybrid_lite,1,1,1,1686,dynamic_gated
13,1,1,1,0.039473684210526314,54,1,0.6228070175438596,0.01,0,lotte_technology_search_100k_q360,1,0.6486706504107086,3,hybrid_lite,1,1,1,1368,dynamic_gated
